2025-10-15 03:11:25,919 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_setup.py:_flush():81] Current SDK version is 0.22.2
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_setup.py:_flush():81] Configure stats pid to 145189
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_setup.py:_flush():81] Loading settings from /home/user/.config/wandb/settings
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_setup.py:_flush():81] Loading settings from /home/user/fl/my-app/wandb/settings
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/user/fl/my-app/wandb/run-20251015_031125-r69mzbrj/logs/debug.log
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/user/fl/my-app/wandb/run-20251015_031125-r69mzbrj/logs/debug-internal.log
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():832] calling init triggers
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-10-15 03:11:25,920 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():880] starting backend
2025-10-15 03:11:26,136 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():883] sending inform_init request
2025-10-15 03:11:26,140 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():891] backend started and connected
2025-10-15 03:11:26,145 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():961] updated telemetry
2025-10-15 03:11:26,146 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-15 03:11:27,048 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():1036] starting run threads in backend
2025-10-15 03:11:27,140 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_run.py:_console_start():2509] atexit reg
2025-10-15 03:11:27,140 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-10-15 03:11:27,140 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-10-15 03:11:27,140 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_run.py:_redirect():2449] Redirects installed.
2025-10-15 03:11:27,144 INFO    Thread-1 (server_th_with_start_checks):145189 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-15 03:12:11,803 INFO    wandb-AsyncioManager-main:145189 [service_client.py:_forward_responses():80] Reached EOF.
2025-10-15 03:12:11,803 INFO    wandb-AsyncioManager-main:145189 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
